episode,reward,loss,time
1,3.0,0.0,0.0
2,3.0,0.0,0.0
3,3.3,0.0,0.0
4,3.3,0.0,0.0
5,3.0,0.0,0.012204885482788086
6,3.5999999999999996,0.0,0.0026824474334716797
7,3.5999999999999996,0.0,0.0035991668701171875
8,3.0,0.0,0.0
9,3.6,0.0,0.0
10,3.0,-0.007978677749633789,0.015438556671142578
11,2.4,-0.012377351522445679,0.014615774154663086
12,3.9,-0.01719987392425537,0.009797811508178711
13,2.3,-0.019511103630065918,0.009691715240478516
14,3.3,-0.030150651931762695,0.007502079010009766
15,3.5999999999999996,-0.026025235652923584,0.008104801177978516
16,3.0,-0.02961486577987671,0.0050013065338134766
17,3.5999999999999996,-0.035662684589624405,0.0
18,3.5999999999999996,-0.027449145913124084,0.01573324203491211
19,3.0,-0.05465501546859741,0.0
20,2.4,-0.033332183957099915,0.01566767692565918
21,2.7,-0.05354556441307068,0.0
22,3.0,-0.07074174284934998,0.022548675537109375
23,3.3,-0.06528055667877197,0.012709856033325195
24,3.0,-0.07442978024482727,0.008806228637695312
25,3.0,-0.07357119023799896,0.00802469253540039
26,3.3,-0.042655669152736664,0.008025646209716797
27,3.9,-0.06225956231355667,0.003999471664428711
28,3.0,-0.09190213680267334,0.0
29,3.3,-0.08729292452335358,0.015825510025024414
30,3.5999999999999996,-0.10380469262599945,0.0
31,3.8,-0.08093136548995972,0.0156404972076416
32,3.3,-0.07058000564575195,0.0
33,3.5999999999999996,-0.1044282615184784,0.019510746002197266
34,3.5999999999999996,-0.11381608247756958,0.004999637603759766
35,2.7,-0.11542019248008728,0.010479450225830078
36,2.4,-0.11712068319320679,0.009584426879882812
37,3.5999999999999996,-0.12775807082653046,0.007950782775878906
38,3.6,-0.08611062914133072,0.007579803466796875
39,3.6,-0.11712732166051865,0.005998849868774414
40,3.0,-0.1072988510131836,0.0
41,3.6,-0.18614771962165833,0.009251832962036133
42,2.7,-0.2072090059518814,0.009737253189086914
43,3.6,-0.102802574634552,0.008571386337280273
44,3.3,-0.14596162736415863,0.002053499221801758
45,2.7,-0.16597643494606018,0.014108896255493164
46,3.0,-0.24420201778411865,0.007650852203369141
47,3.0,-0.25393447279930115,0.0059969425201416016
48,2.4,-0.2430744171142578,0.0
49,3.0,-0.1258946657180786,0.015780925750732422
50,3.0,-0.24178357422351837,0.0
51,3.0,-0.2852121591567993,0.018491744995117188
52,3.0,-0.295538067817688,0.008567333221435547
53,2.7,-0.19363611936569214,0.006348609924316406
54,3.0,-0.35300391912460327,0.0064814090728759766
55,3.6,-0.2637742757797241,0.011755704879760742
56,3.0,-0.1147460788488388,0.007395267486572266
57,3.3,-0.44870316982269287,0.0009996891021728516
58,3.0,-0.21950265765190125,0.0
59,3.5999999999999996,-0.31437811255455017,0.015817642211914062
60,3.3,-0.3605135679244995,0.0
61,3.3,-0.4746251702308655,0.01565408706665039
62,3.3,-0.2939828038215637,0.0
63,3.3,-0.4656127691268921,0.022339582443237305
64,3.0,-0.3997501730918884,0.008686304092407227
65,3.0,-0.5022082328796387,0.00591278076171875
66,3.5,-0.42406249046325684,0.006921291351318359
67,2.7,-0.15405890345573425,0.011101245880126953
68,3.3,-0.46542245149612427,0.008009195327758789
69,3.0,-0.2839965224266052,0.0010004043579101562
70,3.0,-0.32268595695495605,0.0
71,2.7,-0.12398941814899445,0.016015052795410156
72,3.8,-0.7014466524124146,0.0
73,2.4,-0.6352320313453674,0.021742582321166992
74,3.3,-0.502310574054718,0.007582187652587891
75,3.3,-0.23553678393363953,0.007575273513793945
76,3.3,-0.5525206923484802,0.0030596256256103516
77,3.3,-0.605776309967041,0.013113737106323242
78,2.6999999999999997,-0.7724061012268066,0.007006168365478516
79,2.7,-0.5003307461738586,0.0071086883544921875
80,3.0,-0.7491843104362488,0.0
81,3.0,-0.6482413411140442,0.01983022689819336
82,3.0,-0.5800366401672363,0.013356447219848633
83,2.9,-0.42944589257240295,0.008232355117797852
84,2.6,-1.017592191696167,0.008103609085083008
85,3.9,-0.6608057022094727,0.008015871047973633
86,2.7,-0.3830072283744812,0.00500035285949707
87,2.7,-0.20209385454654694,0.0
88,3.6,-0.8969345688819885,0.015749454498291016
89,3.3,-0.7443498373031616,0.015692949295043945
90,3.3,-0.7446930408477783,0.0
91,3.0,-0.5370553731918335,0.01806044578552246
92,3.0,-0.8793717622756958,0.004003763198852539
93,3.5999999999999996,-0.5608406066894531,0.014393806457519531
94,3.6,-0.8316879272460938,0.011426210403442383
95,3.6,-0.49525198340415955,0.009672880172729492
96,3.9,-0.7877578735351562,0.007109165191650391
97,3.9,-0.8401411175727844,0.011551141738891602
98,3.0,-0.667449951171875,0.008309364318847656
99,3.0,-0.4939896762371063,0.0
100,3.5,-1.0218466520309448,0.014694452285766602
